title,price,address,area,rooms,floors,house_type,construction_date,ceiling_height,link
"2-к. квартира, 79,3 м кв., 2/4 эт.",6937875,"ул. Борцов Революции, д. 1, корп. А, стр. 1",79.3,2,2 из 4,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_793_m_24_et._2259499281
"1-к. квартира, 46,9 м кв., 6/6 эт.",6097000,"ул. Екатерининская, д. 10",46.9,1,6 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_469_m_66_et._2248635668
"2-к. квартира, 57,8 м кв., 10/25 эт.",5294480,"ул. Барамзиной, д. 38",57.8,2,10 из 25,монолитный,4 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_578m_1025et._2251651550
"3-к. квартира, 57,6 м кв., 3/9 эт.",5356800,"ул. Советской Армии, д. 82",57.6,3,3 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_576m_39et._2323401094
"2-к. квартира, 57,3 м кв., 4/9 эт.",5443500,"ул. Советской Армии, д. 82",57.3,2,4 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_573m_49et._2323040412
"2-к. квартира, 47,9 м кв., 2/25 эт.",5759000,"ул. Луначарского, д. 97",47.9,2,2 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_479_m_225_et._2254739511
"1-к. квартира, 38,4 м кв., 2/22 эт.",4000000,"ул. Карпинского, д. 50",38.4,1,2 из 22,монолитный,"4 кв. 2021 года, сдача не подтверждена",,https://www.avito.ru/perm/kvartiry/1-k._kvartira_384m_222et._2296925944
"2-к. квартира, 56,2 м кв., 2/8 эт.",5800000,"ул. Карпинского, д. 50",56.2,2,2 из 8,кирпичный,"4 кв. 2021 года, сдача не подтверждена",3,https://www.avito.ru/perm/kvartiry/2-k._kvartira_562m_28et._2285265069
"2-к. квартира, 45,1 м кв., 2/8 эт.",4100000,"ул. Малкова, д. 12",45.1,2,2 из 8,панельный,2 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_451m_28et._2281765420
"1-к. квартира, 50,8 м кв., 2/6 эт.",5943600,"ул. Екатерининская, д. 10",50.8,1,2 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_508_m_26_et._2247929483
"2-к. квартира, 39,7 м кв., 2/10 эт.",3779440,"ул. Клары Цеткин, д. 35",39.7,2,2 из 10,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_397m_210et._2282985612
"Квартира-студия, 59,1 м кв., 13/25 эт.",4455000,"ул. Солдатова, д. 30Б",59.1,студия,13 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_591_m_1325_et._2292088065
"3-к. квартира, 44 м кв., 14/20 эт.",3873760,"ул. Краснополянская, д. 34",44,3,14 из 20,монолитный,3 кв. 2022 года,2.6,https://www.avito.ru/perm/kvartiry/3-k._kvartira_44m_1420et._2294361432
"3-к. квартира, 75,4 м кв., 8/23 эт.",8609000,"ул. Николая Островского, д. 52",75.4,3,8 из 23,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_754_m_823_et._2254160633
"Квартира-студия, 30,4 м кв., 5/11 эт.",2552760,"ул. Ласьвинская, д. 15",30.4,студия,5 из 11,кирпичный,1 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_304m_511et._2262177860
"2-к. квартира, 57,3 м кв., 4/9 эт.",5443500,"ул. Советской Армии, д. 82",57.3,2,4 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_573m_49et._2323040412
"3-к. квартира, 58,7 м кв., 25/25 эт.",4520000,"ул. Солдатова, д. 30Б",58.7,3,25 из 25,монолитный,4 кв. 2023 года,2.8,https://www.avito.ru/perm/kvartiry/3-k._kvartira_587_m_2525_et._2292163654
"4-к. квартира, 87,2 м кв., 13/25 эт.",10379000,"ул. Луначарского, д. 97",87.2,4,13 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_872_m_1325_et._2254065769
"1-к. квартира, 32,8 м кв., 22/25 эт.",2890000,"ул. Солдатова, д. 30Б",32.8,1,22 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/1-k._kvartira_328_m_2225_et._2292223606
"3-к. квартира, 61,7 м кв., 5/11 эт.",4562840,"ул. Ласьвинская, д. 15",61.7,3,5 из 11,кирпичный,1 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_617m_511et._2262059190
"4-к. апартаменты, 126 м кв., 2/3 эт.",11190000,"ул. Братская, д. 98А",126,4,2 из 3,монолитный,сдан,3,https://www.avito.ru/perm/kvartiry/4-k._apartamenty_126m_23et._2226855412
"2-к. квартира, 66,4 м кв., 3/17 эт.",6112480,"ул. Ординская, д. 10, корп. 1",66.4,2,3 из 17,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_664_m_317_et._2322890458
"1-к. квартира, 30,2 м кв., 3/5 эт.",1550000,"Пермский край, Пермь, Ялтинская ул., 11",30.2,1,3 из 5,кирпичный,1964,2.7,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_35et._2314021587
"3-к. квартира, 69,1 м кв., 7/19 эт.",5735300,"ул. Карпинского, д. 99, лит. Г",69.1,3,7 из 19,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_691m_719et._2294629059
"Квартира-студия, 26,6 м кв., 2/8 эт.",2750440,"ул. Клары Цеткин, д. 35",26.6,студия,2 из 8,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266m_28et._2283622613
"1-к. квартира, 32,8 м кв., 17/25 эт.",2880000,"ул. Солдатова, д. 30Б",32.8,1,17 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/1-k._kvartira_328_m_1725_et._2292785041
"2-к. квартира, 59,7 м кв., 8/15 эт.",6589000,"ул. Чернышевского, д. 20",59.7,2,8 из 15,кирпичный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_597_m_815_et._2158326456
"Квартира-студия, 27,1 м кв., 1/10 эт.",2693740,"ул. Клары Цеткин, д. 35",27.1,студия,1 из 10,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_271m_110et._2282878371
"1-к. квартира, 41,4 м кв., 4/16 эт.",3950000,"ул. Малая, д. 2",41.4,1,4 из 16,монолитный,1 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_414m_416et._2290239197
"2-к. квартира, 50,4 м кв., 9/9 эт.",4989600,"ул. Советской Армии, д. 82",50.4,2,9 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_504m_99et._2323620563
"2-к. квартира, 58,7 м кв., 10/24 эт.",5308170,"ул. Космонавта Леонова, д. 41, корп. 3",58.7,2,10 из 24,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_587m_1024et._2262113451
"Квартира-студия, 26,6 м кв., 1/25 эт.",2400000,"ул. Солдатова, д. 30Б",26.6,студия,1 из 25,монолитный,4 кв. 2023 года,2.8,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266_m_125_et._2099947781
"2-к. квартира, 51,1 м кв., 10/25 эт.",3905000,"ул. Солдатова, д. 30Б",51.1,2,10 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/2-k._kvartira_511_m_1025_et._2291991684
"4-к. квартира, 89,4 м кв., 20/23 эт.",10209000,"ул. Николая Островского, д. 52",89.4,4,20 из 23,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_894_m_2023_et._2254289976
"2-к. квартира, 49,5 м кв., 2/4 эт.",4158000,"ул. Архитектора Свиязева, д. 31",49.5,2,2 из 4,кирпичный,2 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_495m_24et._2184313535
"2-к. квартира, 47,9 м кв., 2/25 эт.",5759000,"ул. Луначарского, д. 97",47.9,2,2 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_479_m_225_et._2254739511
"2-к. квартира, 59,8 м кв., 6/9 эт.",4091004,"с. Фролы, ул. Весенняя, д. 38, корп. 3",59.8,2,6 из 9,панельный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_598_m_69_et._2258909247
"2-к. квартира, 47,2 м кв., 4/9 эт.",4578400,"ул. Советской Армии, д. 82",47.2,2,4 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_472m_49et._2323199541
"3-к. квартира, 87 м кв., 9/24 эт.",5394000,"ул. Карбышева, д. 49А",87,3,9 из 24,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_87_m_924_et._2248400626
"3-к. квартира, 75,5 м кв., 2/4 эт.",6791400,"ул. Борцов Революции, д. 1, корп. А, стр. 1",75.5,3,2 из 4,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_755_m_24_et._2259798753
"2-к. квартира, 54,7 м кв., 2/6 эт.",5141800,"ул. Подводников, д. 112",54.7,2,2 из 6,монолитный,2 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_547m_26et._1739092140
"3-к. квартира, 105,6 м кв., 1/3 эт.",5990000,"ул. Путейская, д. 12/1-12/6",105.6,3,1 из 3,кирпичный,сдан,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1056m_13et._2315227228
"3-к. квартира, 60,1 м кв., 15/19 эт.",5205450,"ул. Вагонная, д. 30",60.1,3,15 из 19,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_601_m_1519_et._2155214411
"Квартира-студия, 31,4 м кв., 7/10 эт.",3221575,"ул. Анри Барбюса, д. 43",31.4,студия,7 из 10,кирпичный,4 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_314m_710et._2134896529
"1-к. квартира, 36,7 м кв., 9/9 эт.",2686445,"с. Фролы, ул. Весенняя, д. 38, корп. 2",36.7,1,9 из 9,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_367_m_99_et._2259861562
"3-к. квартира, 80,6 м кв., 3/9 эт.",5741568,"с. Фролы, ул. Весенняя, д. 38, корп. 2",80.6,3,3 из 9,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_806_m_39_et._2323047967
"3-к. квартира, 61,6 м кв., 20/25 эт.",4776000,"ул. Сергея Есенина, д. 9а, корп. 1",61.6,3,20 из 25,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_616_m_2025_et._2280156100
"Квартира-студия, 63,7 м кв., 2/25 эт.",4885000,"ул. Солдатова, д. 30Б",63.7,студия,2 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_637_m_225_et._2100225362
"2-к. квартира, 55,9 м кв., 3/21 эт.",6970000,"б-р Гагарина, д. 67",55.9,2,3 из 21,монолитный,2 кв. 2023 года,3,https://www.avito.ru/perm/kvartiry/2-k._kvartira_559m_321et._2226652707
"1-к. квартира, 50,7 м кв., 6/6 эт.",6489600,"ул. Екатерининская, д. 10",50.7,1,6 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_507_m_66_et._2248837560
"2-к. квартира, 60 м кв., 11/17 эт.",5150000,"б-р Гагарина, д. 18",60,2,11 из 17,панельный,1 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60_m_1117_et._2229072513
"3-к. квартира, 63,6 м кв., 2/22 эт.",5870000,"ул. Космонавта Беляева, д. 45",63.6,3,2 из 22,монолитный,2 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_636m_222et._2290522092
"2-к. квартира, 68 м кв., 7/16 эт.",4566240,"ул. Гашкова, д. 51, корп. 2",68,2,7 из 16,панельный,3 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_68_m_716_et._2259723380
"3-к. квартира, 76,7 м кв., 2/25 эт.",6619000,"пр-т Декабристов, д. 16а",76.7,3,2 из 25,монолитный,3 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_767_m_225_et._2158732641
"3-к. квартира, 81,8 м кв., 7/9 эт.",5436275,"с. Фролы, ул. Весенняя, д. 38, корп. 3",81.8,3,7 из 9,панельный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_818_m_79_et._2259615482
"1-к. квартира, 42,3 м кв., 25/25 эт.",4018500,"ул. Кустовая, д. 2А",42.3,1,25 из 25,монолитный,1 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_423_m_2525_et._2248319868
"3-к. квартира, 44 м кв., 8/20 эт.",3873760,"ул. Краснополянская, д. 34",44,3,8 из 20,монолитный,3 кв. 2022 года,2.6,https://www.avito.ru/perm/kvartiry/3-k._kvartira_44m_820et._2293903567
"Квартира-студия, 23,8 м кв., 3/25 эт.",2320000,"ул. Солдатова, д. 30Б",23.8,студия,3 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_238_m_325_et._2292833632
"3-к. квартира, 68,6 м кв., 12/16 эт.",4872020,"ул. Гашкова, д. 51, корп. 2",68.6,3,12 из 16,панельный,3 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_686_m_1216_et._2259415051
"2-к. квартира, 79,3 м кв., 2/4 эт.",6937875,"ул. Борцов Революции, д. 1, корп. А, стр. 1",79.3,2,2 из 4,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_793_m_24_et._2259499281
"2-к. квартира, 57,8 м кв., 10/25 эт.",5294480,"ул. Барамзиной, д. 38",57.8,2,10 из 25,монолитный,4 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_578m_1025et._2251651550
"1-к. квартира, 46,9 м кв., 6/6 эт.",6097000,"ул. Екатерининская, д. 10",46.9,1,6 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_469_m_66_et._2248635668
"3-к. квартира, 118,1 м кв., 4/5 эт.",15707300,"ул. Сибирская, д. 35",118.1,3,4 из 5,кирпичный,2 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1181_m_45_et._2246872378
,,,,,,,,,
"2-к. квартира, 50,4 м кв., 9/9 эт.",4989600,"ул. Советской Армии, д. 82",50.4,2,9 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_504m_99et._2323620563
"1-к. квартира, 38,4 м кв., 2/22 эт.",4000000,"ул. Карпинского, д. 50",38.4,1,2 из 22,монолитный,"4 кв. 2021 года, сдача не подтверждена",,https://www.avito.ru/perm/kvartiry/1-k._kvartira_384m_222et._2296925944
"2-к. квартира, 56,2 м кв., 2/8 эт.",5800000,"ул. Карпинского, д. 50",56.2,2,2 из 8,кирпичный,"4 кв. 2021 года, сдача не подтверждена",3,https://www.avito.ru/perm/kvartiry/2-k._kvartira_562m_28et._2285265069
"2-к. квартира, 45,1 м кв., 2/8 эт.",4100000,"ул. Малкова, д. 12",45.1,2,2 из 8,панельный,2 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_451m_28et._2281765420
"2-к. квартира, 39,7 м кв., 2/10 эт.",3779440,"ул. Клары Цеткин, д. 35",39.7,2,2 из 10,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_397m_210et._2282985612
"1-к. квартира, 50,8 м кв., 2/6 эт.",5943600,"ул. Екатерининская, д. 10",50.8,1,2 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_508_m_26_et._2247929483
"2-к. квартира, 41,8 м кв., 4/4 эт.",3636800,"ул. Пролетарская, д. 119",41.8,2,4 из 4,кирпичный,3 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_418m_44et._2163730086
"1-к. квартира, 39,3 м кв., 18/23 эт.",4849000,"ул. Николая Островского, д. 52",39.3,1,18 из 23,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_393_m_1823_et._2254825237
"1-к. квартира, 33,1 м кв., 22/25 эт.",2900000,"ул. Солдатова, д. 30Б",33.1,1,22 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/1-k._kvartira_331_m_2225_et._2292581040
"Квартира-студия, 30,4 м кв., 5/11 эт.",2552760,"ул. Ласьвинская, д. 15",30.4,студия,5 из 11,кирпичный,1 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_304m_511et._2262177860
"2-к. квартира, 57,3 м кв., 4/9 эт.",5443500,"ул. Советской Армии, д. 82",57.3,2,4 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_573m_49et._2323040412
"3-к. квартира, 58,7 м кв., 25/25 эт.",4520000,"ул. Солдатова, д. 30Б",58.7,3,25 из 25,монолитный,4 кв. 2023 года,2.8,https://www.avito.ru/perm/kvartiry/3-k._kvartira_587_m_2525_et._2292163654
"4-к. квартира, 87,2 м кв., 13/25 эт.",10379000,"ул. Луначарского, д. 97",87.2,4,13 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_872_m_1325_et._2254065769
"1-к. квартира, 32,8 м кв., 22/25 эт.",2890000,"ул. Солдатова, д. 30Б",32.8,1,22 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/1-k._kvartira_328_m_2225_et._2292223606
"4-к. апартаменты, 126 м кв., 2/3 эт.",11190000,"ул. Братская, д. 98А",126,4,2 из 3,монолитный,сдан,3,https://www.avito.ru/perm/kvartiry/4-k._apartamenty_126m_23et._2226855412
"3-к. квартира, 61,7 м кв., 5/11 эт.",4562840,"ул. Ласьвинская, д. 15",61.7,3,5 из 11,кирпичный,1 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_617m_511et._2262059190
"3-к. квартира, 69,1 м кв., 7/19 эт.",5735300,"ул. Карпинского, д. 99, лит. Г",69.1,3,7 из 19,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_691m_719et._2294629059
"1-к. квартира, 32,8 м кв., 17/25 эт.",2880000,"ул. Солдатова, д. 30Б",32.8,1,17 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/1-k._kvartira_328_m_1725_et._2292785041
"Квартира-студия, 26,6 м кв., 2/8 эт.",2750440,"ул. Клары Цеткин, д. 35",26.6,студия,2 из 8,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266m_28et._2283622613
"1-к. квартира, 30,2 м кв., 3/5 эт.",1550000,"Пермский край, Пермь, Ялтинская ул., 11",30.2,1,3 из 5,кирпичный,1964,2.7,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_35et._2314021587
"Квартира-студия, 27,1 м кв., 1/10 эт.",2693740,"ул. Клары Цеткин, д. 35",27.1,студия,1 из 10,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_271m_110et._2282878371
"2-к. квартира, 59,7 м кв., 8/15 эт.",6589000,"ул. Чернышевского, д. 20",59.7,2,8 из 15,кирпичный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_597_m_815_et._2158326456
"1-к. квартира, 41,4 м кв., 4/16 эт.",3950000,"ул. Малая, д. 2",41.4,1,4 из 16,монолитный,1 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_414m_416et._2290239197
"2-к. квартира, 58,7 м кв., 10/24 эт.",5308170,"ул. Космонавта Леонова, д. 41, корп. 3",58.7,2,10 из 24,монолитный,4 кв. 2023 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_587m_1024et._2262113451
"2-к. квартира, 50,4 м кв., 9/9 эт.",4989600,"ул. Советской Армии, д. 82",50.4,2,9 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_504m_99et._2323620563
"Квартира-студия, 26,6 м кв., 1/25 эт.",2400000,"ул. Солдатова, д. 30Б",26.6,студия,1 из 25,монолитный,4 кв. 2023 года,2.8,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266_m_125_et._2099947781
"2-к. квартира, 51,1 м кв., 10/25 эт.",3905000,"ул. Солдатова, д. 30Б",51.1,2,10 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/2-k._kvartira_511_m_1025_et._2291991684
"4-к. квартира, 89,4 м кв., 20/23 эт.",10209000,"ул. Николая Островского, д. 52",89.4,4,20 из 23,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_894_m_2023_et._2254289976
"2-к. квартира, 49,5 м кв., 2/4 эт.",4158000,"ул. Архитектора Свиязева, д. 31",49.5,2,2 из 4,кирпичный,2 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_495m_24et._2184313535
"2-к. квартира, 47,9 м кв., 2/25 эт.",5759000,"ул. Луначарского, д. 97",47.9,2,2 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_479_m_225_et._2254739511
"3-к. квартира, 87 м кв., 9/24 эт.",5394000,"ул. Карбышева, д. 49А",87,3,9 из 24,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_87_m_924_et._2248400626
"3-к. квартира, 75,5 м кв., 2/4 эт.",6791400,"ул. Борцов Революции, д. 1, корп. А, стр. 1",75.5,3,2 из 4,монолитный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_755_m_24_et._2259798753
"2-к. квартира, 47,2 м кв., 4/9 эт.",4578400,"ул. Советской Армии, д. 82",47.2,2,4 из 9,кирпичный,4 кв. 2024 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_472m_49et._2323199541
"2-к. квартира, 66,4 м кв., 3/17 эт.",6112480,"ул. Ординская, д. 10, корп. 1",66.4,2,3 из 17,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_664_m_317_et._2322890458
"2-к. квартира, 54,7 м кв., 2/6 эт.",5141800,"ул. Подводников, д. 112",54.7,2,2 из 6,монолитный,2 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/2-k._kvartira_547m_26et._1739092140
"3-к. квартира, 60,1 м кв., 15/19 эт.",5205450,"ул. Вагонная, д. 30",60.1,3,15 из 19,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_601_m_1519_et._2155214411
"3-к. квартира, 105,6 м кв., 1/3 эт.",5990000,"ул. Путейская, д. 12/1-12/6",105.6,3,1 из 3,кирпичный,сдан,2.7,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1056m_13et._2315227228
"Квартира-студия, 31,4 м кв., 7/10 эт.",3221575,"ул. Анри Барбюса, д. 43",31.4,студия,7 из 10,кирпичный,4 кв. 2022 года,2.7,https://www.avito.ru/perm/kvartiry/kvartira-studiya_314m_710et._2134896529
"1-к. квартира, 36,7 м кв., 9/9 эт.",2686445,"с. Фролы, ул. Весенняя, д. 38, корп. 2",36.7,1,9 из 9,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_367_m_99_et._2259861562
"3-к. квартира, 80,6 м кв., 3/9 эт.",5741568,"с. Фролы, ул. Весенняя, д. 38, корп. 2",80.6,3,3 из 9,панельный,4 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_806_m_39_et._2323047967
"3-к. квартира, 61,6 м кв., 20/25 эт.",4776000,"ул. Сергея Есенина, д. 9а, корп. 1",61.6,3,20 из 25,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_616_m_2025_et._2280156100
"Квартира-студия, 63,7 м кв., 2/25 эт.",4885000,"ул. Солдатова, д. 30Б",63.7,студия,2 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_637_m_225_et._2100225362
"2-к. квартира, 55,9 м кв., 3/21 эт.",6970000,"б-р Гагарина, д. 67",55.9,2,3 из 21,монолитный,2 кв. 2023 года,3,https://www.avito.ru/perm/kvartiry/2-k._kvartira_559m_321et._2226652707
"1-к. квартира, 50,7 м кв., 6/6 эт.",6489600,"ул. Екатерининская, д. 10",50.7,1,6 из 6,монолитный,2 кв. 2024 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_507_m_66_et._2248837560
"3-к. квартира, 63,6 м кв., 2/22 эт.",5870000,"ул. Космонавта Беляева, д. 45",63.6,3,2 из 22,монолитный,2 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_636m_222et._2290522092
"2-к. квартира, 68 м кв., 7/16 эт.",4566240,"ул. Гашкова, д. 51, корп. 2",68,2,7 из 16,панельный,3 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_68_m_716_et._2259723380
"3-к. квартира, 76,7 м кв., 2/25 эт.",6619000,"пр-т Декабристов, д. 16а",76.7,3,2 из 25,монолитный,3 кв. 2022 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_767_m_225_et._2158732641
"1-к. квартира, 32,7 м кв., 24/25 эт.",3237300,"ул. Солдатова, д. 33",32.7,1,24 из 25,монолитный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_327_m_2425_et._2248326179
"3-к. квартира, 81,8 м кв., 7/9 эт.",5436275,"с. Фролы, ул. Весенняя, д. 38, корп. 3",81.8,3,7 из 9,панельный,4 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_818_m_79_et._2259615482
"2-к. квартира, 60 м кв., 11/17 эт.",5150000,"б-р Гагарина, д. 18",60,2,11 из 17,панельный,1 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60_m_1117_et._2229072513
"1-к. квартира, 42,3 м кв., 25/25 эт.",4018500,"ул. Кустовая, д. 2А",42.3,1,25 из 25,монолитный,1 кв. 2023 года,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_423_m_2525_et._2248319868
"3-к. квартира, 44 м кв., 8/20 эт.",3873760,"ул. Краснополянская, д. 34",44,3,8 из 20,монолитный,3 кв. 2022 года,2.6,https://www.avito.ru/perm/kvartiry/3-k._kvartira_44m_820et._2293903567
"Квартира-студия, 23,8 м кв., 3/25 эт.",2320000,"ул. Солдатова, д. 30Б",23.8,студия,3 из 25,монолитный,4 кв. 2023 года,2.6,https://www.avito.ru/perm/kvartiry/kvartira-studiya_238_m_325_et._2292833632
